UserId,ItemId
30,2115 981 845 2645 45 1195 938 335 3158 964 294 2841 1129 2541 706 3003 1307 2977 214 505 719 655 3210 1269 515 2351 1351 3241 217 2855 1020 1200 1034 2444 2537 2182 1857 954 3142 1941 959 968 307 1343 2406 100 3083 3118 2464 454
31,2977 1575 1614 1861 905 676 2297 13 751 2431 358 1154 2159 1520 1720 1521 1298 734 3150 1289 471 1975 1054 938 1002 443 990 2631 486 2546 1896 847 1299 239 987 637 919 2652 2902 2563 2217 651 2352 1407 2305 2661 1684 1026 1197 965
32,2977 2749 2179 3142 1714 3059 2173 277 231 1185 1332 1195 845 2541 1475 863 1268 3189 3041 470 1083 924 2782 2463 1956 1402 719 2299 1379 1784 2551 422 1531 2905 1122 589 307 1879 2546 3220 2538 2688 1060 2081 1349 255 1875 2964 2359 3090
33,788 1299 1867 1372 2787 566 1644 1359 988 1845 1749 1539 2274 584 809 1758 2752 3194 1310 311 2108 2305 2171 2550 2878 1885 2906 1141 1400 1129 2406 3051 1448 1369 1393 3083 1883 3039 2912 2749 1153 324 225 1305 3014 2865 721 1020 2385 2363
34,1185 2940 2885 1575 518 1407 609 1770 3178 1348 2320 1156 496 719 1681 2977 2070 2997 231 783 1474 294 2514 1189 2007 454 3124 234 3231 1023 1812 2845 2928 1197 2299 1648 762 2115 1405 2392 1734 2351 714 2463 1196 1414 1784 2821 1353 465
35,767 1770 545 1193 3189 2986 2035 1651 405 644 2810 2855 91 3059 2072 2474 465 1575 3118 1868 1239 899 1048 2946 1648 2217 3236 2359 3003 1686 2710 1531 1078 2111 2944 1386 3237 497 2115 97 2463 3073 3014 2312 1289 126 2428 241 1567 1811
36,2805 2810 2385 2173 996 2217 1048 776 829 1957 3189 1531 1861 2652 331 2262 1770 405 3204 2547 2437 2912 2955 1922 2809 1028 2111 3107 1529 2384 1137 465 1656 2885 2549 444 1020 595 2411 1745 3150 490 1339 1677 2022 2546 593 759 417 703
37,655 2115 2902 1048 443 1197 335 3150 856 1942 837 1474 1896 2262 1200 2966 2555 402 1365 938 3186 231 865 2537 2811 2232 1480 1130 1558 239 3241 1268 2296 2934 2431 213 2127 2444 1614 876 3077 2006 1156 3035 593 1533 2836 1767 2921 1722
38,2472 1964 2986 2488 2399 2441 2507 1837 783 2726 2413 2585 2308 2055 1421 3218 609 497 454 1268 1868 294 1591 2661 2164 1681 2115 2875 2710 2878 1520 1193 1575 2802 3237 490 2934 2431 2182 2932 448 1130 2862 2352 1057 2080 241 1060 2428 1156
39,945 494 2127 3071 1193 2464 2299 1575 231 3229 167 1197 2855 968 2487 1857 1405 117 1424 387 465 296 2940 1102 3037 2536 2805 2324 1756 333 505 2959 84 1307 2039 2770 2222 1348 987 1430 485 2575 3176 1407 2574 2946 2979 999 380 2463
40,2652 1193 945 2179 2312 1386 1357 2464 3209 1185 2031 2351 1060 987 2541 1575 2455 988 1197 1812 2885 465 231 702 417 1348 275 2022 2514 1200 2024 2845 2749 454 2726 521 362 2977 2030 1754 2065 1567 486 1786 2547 2470 2012 644 2133 1195
41,2464 1193 1195 147 2946 2232 471 869 417 1196 157 988 2466 2463 976 1127 2108 1567 119 1875 3178 2940 3207 663 968 2115 3124 465 2652 1339 676 2878 3103 370 1125 3035 3021 1353 2514 2030 2474 2814 1154 1405 1156 2024 490 2541 2299 2039
42,776 1189 2128 1957 2805 876 2726 2652 553 767 2464 2809 1386 2940 865 677 1048 444 596 1087 1767 646 231 2525 2217 2734 1474 1722 1269 1956 663 2934 2179 3241 2299 1852 98 2908 2811 1736 1185 2537 1137 403 1377 2108 1797 457 702 1164
43,3186 471 2883 1203 170 1032 719 964 91 2811 2413 1129 2428 2957 2799 126 613 1299 1784 1533 180 2878 842 1474 2810 151 2108 1315 335 2889 1577 3150 13 1797 571 655 756 3064 2726 2690 1923 637 1106 1871 2966 2173 1154 1614 1213 2976
44,553 677 1152 2985 759 98 2499 712 2805 964 1984 1549 1852 2020 49 1613 545 1362 1475 2734 270 1137 2111 2916 2859 2931 1873 2741 2128 381 934 1804 1497 2565 36 1008 1558 1029 405 2618 163 731 1480 2958 2227 876 150 3106 2385 47
45,2262 2977 2866 239 1299 2305 825 2889 2652 629 2726 1137 3210 710 1157 1195 292 613 1002 3194 1200 1156 2959 803 676 2648 2908 405 1332 3189 1240 471 2350 2129 883 2782 2688 2878 2887 1094 2285 100 1130 876 1117 1770 1355 2406 2537 1475
46,1156 1575 100 2652 2176 2626 497 1446 2413 2944 3064 2222 2464 2320 1060 346 2035 490 2525 1193 1811 1213 2855 2908 2163 2977 964 803 629 1964 2470 3014 2428 1001 2976 2299 2111 676 3237 2262 741 845 361 1973 1975 117 517 868 776 405
47,987 100 988 2616 2964 2855 1130 2320 2035 1770 2883 803 1386 521 1383 1784 2463 1268 2111 491 1219 1432 3194 2652 1423 117 426 1306 371 2532 784 2182 945 2976 905 2541 3175 1396 2225 3072 2885 3049 1714 1560 3145 283 2693 497 1295 1031
48,294 1663 1020 1159 331 2295 1697 276 971 2262 3236 3158 3209 1339 2908 2966 2638 2173 457 1194 842 186 2309 749 2370 3103 965 2725 651 1165 3089 197 2222 84 1299 1452 1680 2119 505 939 2463 829 2809 2320 2627 3117 2977 2527 2182 2541
49,865 496 1193 457 2312 859 2536 1409 2706 3178 3021 1262 3248 697 3176 2222 417 46 494 84 663 989 2537 2039 3032 3041 275 2514 976 1656 525 2749 2299 2460 2180 892 3123 1013 1956 226 505 770 1800 2526 1605 1397 3118 3229 1185 862
50,3041 1405 2805 2464 1991 3241 486 402 1197 2178 2024 702 181 2770 2622 164 992 1048 3178 865 2902 1407 968 417 1348 275 3037 1860 1880 663 1054 2339 2575 3071 1470 1868 2174 88 1765 1857 719 3176 2652 2343 2885 655 1984 272 3142 2547
51,3031 234 1444 2862 2710 1635 1868 2466 2971 3124 275 1784 2669 371 1722 147 1681 161 1770 1113 1761 2006 2845 1347 1881 391 1099 1455 1377 2661 3186 2726 965 678 1167 1001 1353 1652 402 437 2232 665 2537 319 1185 2946 2392 1130 869 243
52,825 1094 1269 2726 335 239 2652 2971 100 2499 1006 677 706 331 1991 3237 3142 2648 1299 1088 2875 803 3210 1432 2196 2174 337 394 1650 2537 3189 2889 2431 814 1723 91 1377 2866 2022 1128 876 2111 2966 2957 2470 629 2182 1585 471 613
53,2413 1575 1268 1770 1129 2182 1474 2652 3189 856 1154 1386 2164 1193 100 987 1029 2111 2726 2320 91 2958 405 1299 865 1956 319 1612 2262 2889 1470 1087 1531 1868 2351 2977 2022 358 942 2385 3241 2171 2392 1292 2474 14 598 2805 2966 64
54,471 2902 1130 2855 1784 465 486 1197 2977 1325 2638 1868 2627 545 334 2811 2661 706 239 1520 2182 2537 3142 2299 1156 358 2232 346 100 919 2883 1941 2320 1268 333 1474 938 1521 1681 3237 2178 2291 2959 415 1567 1365 3037 905 712 454
55,1681 1053 1474 1579 968 1348 1131 950 2726 1130 663 1455 1793 698 2232 2514 1958 1218 1156 2825 1465 2487 213 385 3241 1662 329 1405 2878 505 1497 2940 1357 960 1666 996 2946 2144 333 2133 2547 2070 945 299 427 471 458 2902 0 1376
56,471 1533 2979 1106 423 1349 13 1159 2262 486 1195 1260 3202 2811 3090 1941 2330 2428 443 2096 1731 3159 1254 2302 2875 334 1132 959 2359 2799 439 1130 2879 1272 1563 1120 4 405 532 346 1386 3229 954 2869 505 2807 91 1922 870 1280
57,1770 231 2147 2652 2133 2537 3189 2472 280 471 2971 1784 164 1295 1864 1567 3031 517 3186 2320 1861 869 1365 1057 2902 443 2006 486 3092 2295 741 243 2455 294 2883 1325 1012 2299 1941 609 100 1991 1029 491 2750 1421 2878 2306 1193 2022
58,505 1299 825 1088 2887 335 2385 2977 2959 2392 629 751 692 3210 319 836 676 2352 1317 1054 2129 1895 1938 1012 829 2089 2262 337 3237 987 1432 2546 1206 840 2889 215 3241 1519 883 2499 1076 1686 990 3 1450 1154 553 1005 2970 3150
59,745 1496 2622 358 1006 259 127 1521 2638 498 1103 2034 1768 2831 1860 2262 1456 2941 1915 3159 397 1730 2330 1479 309 661 838 240 749 1407 1619 1015 1221 760 3207 2149 2115 3008 1005 2006 215 919 1298 1987 1272 1190 655 3176 1283 2522
60,3150 2959 1162 2176 1873 1686 319 1055 1474 1706 1662 1054 2805 1575 2749 243 1195 1226 2551 2652 1268 1213 2217 2344 3220 2179 1309 248 1048 2841 2316 2193 2163 240 582 2225 755 2039 1614 1656 1475 786 1696 990 2619 590 3009 1455 2934 1969
61,454 1088 751 1197 2262 2022 2661 2726 3241 1156 2295 1737 486 2946 2855 3103 2940 1567 938 465 1868 1575 2411 2875 676 1715 1254 2351 2173 505 443 283 2117 1784 988 2887 115 702 3023 497 3059 1871 1056 1339 2044 3130 1443 2696 2460 100
62,2299 2031 1218 1949 1053 1417 2536 517 2464 697 1386 2463 457 2652 518 702 3078 2190 2526 299 865 3229 1156 167 1681 211 1505 2179 2127 1197 1875 662 2339 2537 1198 2007 2841 1868 489 945 2278 485 706 939 749 1195 454 2908 3231 275
63,1056 2688 3031 2652 2527 1958 2546 1348 1681 1714 2460 2163 2193 1099 1226 1207 2974 2232 1203 505 151 1795 3051 976 627 1239 1861 2494 2455 945 1812 1130 1435 1200 2946 270 147 1984 423 3187 405 3145 1127 515 2428 981 1774 3186 3040 457
64,1195 241 1299 2957 2887 825 2182 100 465 266 1156 959 856 470 829 714 1896 571 2129 2285 1519 905 231 2171 2057 3090 942 876 119 1145 1405 2964 1560 2736 1348 3189 2550 1821 1920 2726 2921 394 288 865 3150 2297 2541 3210 2113 1475
65,1348 719 1239 100 1197 1290 2551 346 3059 3241 2173 241 964 609 1046 454 1156 417 471 1001 1242 2876 1922 2616 2875 1088 938 1567 1280 2320 2488 2111 147 2463 2211 803 945 3182 1706 1923 1754 1034 259 1681 2952 231 2359 2908 845 865
66,3221 1048 2072 1034 2811 1558 1531 1362 2470 2299 2380 958 595 2651 2959 2022 971 981 1496 865 1480 2958 423 1641 1152 545 2350 1568 2809 1156 905 1269 3189 1871 1896 2111 2065 692 1154 1087 2952 1307 1041 1684 2264 1613 1094 515 2217 2810
67,1417 1290 1797 59 1560 2551 751 1336 346 2855 319 1185 294 1821 465 2022 3023 2359 3008 2011 2108 2899 3210 2155 2176 1355 990 2222 1034 2645 1628 1348 431 3059 1154 697 2066 613 2908 1973 1567 2393 1268 470 2757 1213 1991 1203 1071 2115
68,767 2885 2464 1060 88 100 1193 803 2541 814 987 968 702 1737 2178 3118 1969 942 1956 486 2616 1567 609 3092 830 2351 471 3229 796 1755 773 2441 2463 870 2514 2932 1868 2044 1197 663 2537 292 1684 2935 1575 1272 85 2908 1799 706
69,2885 865 1295 2455 1197 1784 2022 457 3178 945 2855 770 968 1648 1195 2007 1575 3041 486 1185 490 1031 2902 697 2351 2283 1681 1455 2178 1474 2527 1290 1343 1386 2039 609 706 2463 117 380 639 1325 2508 296 272 987 3209 719 2652 2066
70,1575 443 2855 3147 2470 706 2652 571 2022 1868 2807 2299 164 2127 1307 497 272 2638 333 1857 1001 231 1422 1088 471 2885 1734 2055 1474 3041 3037 803 856 1254 1156 1386 465 3048 2750 1197 1295 1423 1573 1031 2933 988 2986 147 13 3206
71,334 1891 471 621 3190 2174 1407 2902 842 3079 486 2487 1874 1264 2208 443 2398 457 2299 2997 2180 1730 945 2831 702 181 2508 2755 1156 1430 2622 3206 968 465 2351 1835 1343 1795 2750 1857 847 1784 1369 2127 2030 2664 2099 458 2283 3207
72,596 2841 2724 2435 294 2320 1922 2318 2022 1386 1046 307 2749 654 1348 2850 2351 1156 1237 551 1071 573 2885 1817 3206 3247 3078 1820 1956 589 1573 1045 2835 2095 77 1200 473 431 2718 2350 1560 3236 1529 1643 1279 1227 3181 494 1923 969
73,2055 2652 1193 1575 2971 2398 1635 1520 1150 2080 2006 2976 2441 2845 2099 3147 3059 1755 770 1795 2159 3176 2133 164 2330 1130 2986 1099 280 1614 571 1239 847 1715 2795 714 13 294 2340 3220 1765 272 1593 1115 2464 719 62 1754 465 1853
74,457 465 2464 2351 2463 770 3229 2652 2645 2031 1635 2940 1290 845 3181 1106 1861 2173 1193 2455 898 2470 1348 803 2841 307 1260 2541 2810 702 1226 3209 1693 2030 968 1657 333 167 3078 1972 1681 2178 663 1369 1818 3178 1056 2783 862 2411
75,2541 2514 1013 3041 2108 2127 3158 1660 1696 2547 812 412 795 1505 3080 1991 988 1127 2460 1465 830 678 1944 1063 2312 384 1474 1793 2091 2233 590 3026 1324 3032 382 1754 3086 485 2210 1881 728 2546 18 1297 273 1034 1455 609 607 3071
76,770 2351 2299 1575 2464 702 465 2030 1218 272 1386 988 2022 3041 697 968 847 2855 2312 2514 1195 2350 457 2006 1059 1336 2470 987 663 2807 3223 471 167 1348 1369 706 2460 812 486 515 2786 1197 1185 1505 2841 2291 490 2997 2995 3184
77,479 2852 1048 2651 968 2470 1193 1755 2885 865 2464 2547 712 1558 1028 2811 1613 637 457 2514 2262 1684 2460 2726 2568 197 1737 1475 2805 3189 2602 1272 2117 2351 2934 1547 275 2411 1715 1298 126 1804 100 2474 1195 2232 1239 188 3186 545
78,100 470 1040 454 1443 1737 1567 767 1197 765 987 2533 2548 1371 232 115 748 2754 2030 1334 437 1277 1577 1398 1922 384 2696 609 1213 501 2640 1088 2718 2469 13 18 1306 1975 2962 2240 1446 761 1818 167 168 1057 3175 2976 3064 288
79,1567 2883 2713 1784 2393 48 1446 1494 497 2325 1864 2198 2384 3014 2472 1651 2308 2807 2944 770 2693 2855 2338 767 1695 501 115 1040 1398 457 1268 1990 1757 491 1591 2111 2987 2055 1657 366 296 2080 2974 2398 218 2585 919 1239 1445 1238
80,1470 825 613 2431 2811 1154 856 403 1405 803 2810 938 490 2726 2889 2369 2299 2262 319 905 734 1874 2297 1156 239 783 2460 1087 2316 2499 984 1450 836 119 2217 2470 3079 1474 465 1002 333 2464 479 25 405 964 1868 372 186 1195
81,241 2652 1990 2819 2182 2799 294 2338 140 497 2351 1612 2934 3175 1533 3189 702 1306 1147 2441 899 1575 596 2163 655 2203 2538 2464 1020 1964 2537 959 713 97 1254 232 2966 405 1494 2595 2782 168 1106 292 2841 617 2908 2962 2463 2795
82,505 1474 1797 676 3167 1224 3210 1405 2940 2262 2164 1197 25 335 239 3041 976 119 3194 458 987 2811 1336 358 2514 938 1054 243 319 1088 825 1203 886 2217 655 1432 2930 1213 840 2546 770 1005 1355 613 3079 215 706 2855 537 1450
83,517 1567 1443 803 3237 100 465 115 644 380 1446 1770 767 2035 1290 346 2551 3064 470 1078 497 2163 398 1156 255 1498 3130 1133 1292 48 1088 870 454 1060 1254 1438 702 2081 2393 3229 2176 676 2883 3023 607 3196 3118 862 1695 1868
84,1195 2527 919 968 770 2222 485 2940 2514 2178 2138 275 2841 1407 2855 2278 745 1307 2997 2022 1614 1241 465 1656 2455 1923 2828 457 1298 1219 1197 948 865 444 783 1835 2173 299 2295 845 2749 2536 716 13 706 2809 2747 307 1184 1185
85,2039 2547 3021 2514 1059 767 3022 496 1193 1956 2278 3032 2487 1241 1860 457 2144 770 945 1443 427 1143 1092 639 2030 2470 2319 1167 1875 859 417 2497 18 584 3209 1372 2537 2622 3013 2823 750 2340 2190 3207 663 2677 1811 2022 2359 1754
86,2182 3189 803 405 2222 2385 2350 3186 1292 2398 2810 2533 2652 2805 2724 1958 2020 1237 2833 2726 1060 1386 2638 2291 338 2958 1377 1185 2885 1156 2193 2142 1200 3041 1804 98 651 1818 1558 2850 163 2537 1417 2934 2365 597 870 100 1193 385
87,457 3229 299 1307 3209 2031 2855 317 2464 231 1922 1660 2536 3190 2706 2971 296 2749 1348 471 443 2831 277 1567 945 644 745 2783 1770 2039 3037 3236 1048 2108 756 2299 3109 1575 2100 384 226 987 2086 1065 1619 1857 3147 3090 2111 1359
88,3189 1804 2070 1034 865 192 545 443 1828 2320 3165 1871 2350 655 2193 1239 2299 0 64 3124 3220 1991 1868 1362 2117 981 2022 1349 2115 98 1237 231 1193 2971 2217 2555 2782 2364 2537 2811 127 2393 1958 2638 856 776 712 2810 2726 1736
89,155 2455 2537 2525 1784 505 1001 2007 2902 1720 275 837 714 1765 2661 3040 1715 1455 1365 1575 234 2070 294 358 637 1770 2977 856 1189 2635 3124 2531 593 1262 1614 2878 92 2178 1099 1593 1125 845 2671 2726 3176 1127 497 164 2837 1006
90,307 968 2039 485 2837 682 767 2568 2547 1196 1348 1260 1681 411 2086 2622 2455 427 2464 14 1072 999 2126 1397 745 2117 918 2772 1637 317 2633 1860 2013 3013 2497 2623 3158 88 639 1567 1575 77 1616 1958 2536 2107 695 2788 277 2711
91,2799 2652 2302 100 2933 1362 1370 2163 651 2351 2934 454 702 2413 523 2883 1048 2380 2885 1956 1558 2072 1714 677 1763 2417 2399 294 1822 1681 270 517 1117 3236 803 2819 1784 2171 98 2841 1920 423 302 2080 1318 381 64 3102 2734 1984
92,2962 1857 471 2817 1474 307 1194 1195 128 1189 1770 2652 910 1034 3241 1339 294 1197 3059 3142 830 312 2470 1156 1307 1299 3202 1941 2262 1861 1745 710 1821 100 505 1868 2844 2887 1379 751 197 1132 2811 613 1469 2002 2285 1531 3186 1348
93,1237 288 2022 566 1861 702 1656 651 417 3118 3189 266 2724 1568 241 2885 168 98 3014 2380 333 117 1958 971 2163 1289 296 255 2810 270 1505 259 2437 2217 905 1907 1558 454 231 603 1152 525 1318 2802 545 2934 1389 0 2726 2734
94,876 734 1474 957 987 2474 1269 1154 1861 1405 465 2217 1558 232 2811 1121 829 241 719 1575 2887 2022 1045 1896 3241 1325 1055 243 598 768 2225 2651 1875 1909 2970 825 1898 1804 1770 1396 1152 1857 2810 1259 938 1048 115 3189 651 991
95,3105 2444 1299 636 1064 1212 1435 718 133 2297 331 2950 1978 3143 1853 2187 3150 1533 3025 2926 768 1916 2262 486 468 214 2329 2227 1157 529 2690 791 843 1963 3004 1132 1680 1504 197 1839 1014 1762 71 1242 863 725 2350 2936 2998 43
96,1648 2514 767 2299 1734 898 1048 1754 333 2940 3031 3118 712 3178 1185 2946 697 1786 2380 2823 1092 98 698 1023 2030 2125 859 2536 412 3236 3229 2320 621 2855 2463 2351 525 1770 1060 3231 2885 1558 1800 255 2117 2706 3189 3086 365 871
97,241 1990 2179 2127 1612 596 1602 231 479 2782 2541 2470 988 1505 14 1643 1714 1200 2171 1071 1239 2649 517 2546 192 2320 698 935 532 741 545 1317 3233 1575 2182 2933 3145 1465 3090 2108 1804 1034 2343 3039 1129 3170 2952 1237 1942 505
98,2320 100 2035 2626 644 2855 702 2198 964 1941 2182 803 1818 1770 1423 2799 1567 1991 719 987 280 2782 2351 1443 1474 2937 2173 1714 2810 655 3014 2431 1290 2875 1864 1446 2964 1239 1973 3064 2861 3189 1868 470 2696 319 497 609 1156 168
99,1868 1200 2652 702 2944 1861 1770 2724 275 1474 865 2470 2055 1567 2463 2385 1226 2178 366 1269 2441 423 3220 1945 770 443 1185 1786 3049 607 2398 1348 1197 2937 2124 3241 964 458 358 2115 1901 490 1088 1722 3167 1106 1423 1958 2024 2320
100,767 1386 1048 465 2182 1941 1371 2855 596 2883 2384 2320 803 870 553 454 1055 2499 796 115 489 2888 2652 2934 3241 3064 2133 865 595 1152 2022 2541 2171 48 280 232 2217 1498 2693 380 14 1695 2380 1613 712 98 663 497 2464 1861
101,465 2783 1681 2537 486 840 968 334 397 1456 335 2841 2351 317 1465 3176 1575 505 770 1455 1185 275 454 1195 2536 1784 2549 2455 358 702 2706 1197 825 716 1397 2075 2821 1614 2928 2855 2738 3220 3237 494 2940 2652 1321 2726 1290 489
